scenario,rho,method,param,N,bias,ESD,mean_SE,median_SE,coverage,coverage_MCSE
informative_H,0.02,PR_MLE,beta2,500,-0.24327018567045106,0.17279651791691672,0.15877863285669344,0.15699333682812927,0.622,0.02168483340955148
informative_H,0.02,PR_MLE,beta3,500,0.1809481600937084,0.12461922469778075,0.12368567866368514,0.1230578273158069,0.65,0.02133072900770154
informative_H,0.05,DR_CF,alpha0,483,-0.07223417039631833,0.30097705505306394,0.30876468609511865,0.2545328546854808,0.906832298136646,0.013225820250943198
informative_H,0.05,DR_CF,alpha1,483,0.10339679111042288,0.40276282122917473,0.3759489847876744,0.2636520818995633,0.8985507246376812,0.013737958769811244
informative_H,0.05,DR_CF,alpha2,483,-0.07374685817471775,0.34426699185831944,0.3076085083971701,0.2360810660847133,0.9192546583850931,0.01239661439642209
informative_H,0.05,DR_CF,alpha3,483,0.06473257773637908,0.31709478732549073,0.3000766615816106,0.232456640775598,0.9192546583850931,0.01239661439642209
informative_H,0.05,DR_CF,beta0,483,0.43816072861542066,0.9514961925637452,1.4802847631389364,0.4807290968920139,0.937888198757764,0.01098219200239157
informative_H,0.05,DR_CF,beta1,483,-0.12875637406709584,0.5299905974063643,0.6877977556724001,0.2996908458034114,0.9337474120082816,0.011317293110368751
informative_H,0.05,DR_CF,beta2,483,0.33883333280760386,0.9231783814274942,1.4665033987379903,0.3644704940939274,0.9399585921325052,0.010809515516019394
informative_H,0.05,DR_CF,beta3,483,-0.1856631678448355,0.5417595992877238,0.8301268096120107,0.2940878639041356,0.9523809523809523,0.009689963423291429
informative_H,0.05,PR_MLE,alpha0,500,1.171435690791013,0.278949438558157,0.27753522197458314,0.27366207247045315,0.002,0.0019979989989987483
informative_H,0.05,PR_MLE,alpha1,500,-0.05528938210201111,0.18194820177831353,0.17469218492782654,0.1733873060109894,0.92,0.012132600710482479
informative_H,0.05,PR_MLE,alpha2,500,-0.43841367221502914,0.16242132883642824,0.1523039000594829,0.15022105872838987,0.162,0.016477621187537962
informative_H,0.05,PR_MLE,alpha3,500,0.2405377842862642,0.15513684271702982,0.15445786183943097,0.15204506053038574,0.658,0.021214900423994452
informative_H,0.05,PR_MLE,beta0,500,-1.047722298694612,0.19687101122386685,0.18870624066796465,0.18643121503228394,0.006,0.0034536936748935914
informative_H,0.05,PR_MLE,beta1,500,0.2772495762706665,0.11859864273655593,0.11671544454912504,0.11666310103991755,0.332,0.02106067425321421
informative_H,0.05,PR_MLE,beta2,500,-0.3555327773603794,0.14150996011949138,0.1299595912456387,0.12916914970997714,0.244,0.019207498535728174
informative_H,0.05,PR_MLE,beta3,500,0.2412915877880015,0.099276820094836,0.10296565873504923,0.10228712005827875,0.322,0.020895741192884256
informative_H,0.1,DR_CF,alpha0,497,-0.035089023685131594,0.204342427673398,0.18464431666510978,0.1627448675374396,0.8772635814889336,0.014718839819704345
informative_H,0.1,DR_CF,alpha1,497,0.0660638215890404,0.268660497761888,0.22155616211693732,0.1720142977864852,0.8752515090543259,0.014821968642238158
informative_H,0.1,DR_CF,alpha2,497,-0.02693160369622275,0.19664447746216668,0.174408371055445,0.141898890778486,0.9476861167002012,0.009987632282953988
informative_H,0.1,DR_CF,alpha3,497,0.02606734398721902,0.2410878682690744,0.19160521803814332,0.1436489462832998,0.937625754527163,0.010847738869485465
informative_H,0.1,DR_CF,beta0,497,0.1434413000344878,0.4457402883478863,0.4169949348765288,0.2789564666849338,0.8913480885311871,0.013959316685999082
informative_H,0.1,DR_CF,beta1,497,-0.06055932851901503,0.29510494189669156,0.26609529992063247,0.1843663646836523,0.8933601609657947,0.013845059827232456
informative_H,0.1,DR_CF,beta2,497,0.11457235941473014,0.36678842707995585,0.3432463009044267,0.2009248632784364,0.9134808853118712,0.012610362501448164
informative_H,0.1,DR_CF,beta3,497,-0.03126746580833708,0.22570031236657886,0.20305040275334832,0.1611156411394107,0.9356136820925554,0.011009481917880289
informative_H,0.1,PR_MLE,alpha0,500,1.2185015675984576,0.21007296212654805,0.1988037224359297,0.19727447733593395,0.0,0.0
informative_H,0.1,PR_MLE,alpha1,500,-0.15311922635446032,0.16694110158950184,0.15422397501070065,0.15290293749613132,0.812,0.017473179447370188
informative_H,0.1,PR_MLE,alpha2,500,-0.35746829979883715,0.13977135390256223,0.12914753411587684,0.12867140024833235,0.234,0.018933779337469845
informative_H,0.1,PR_MLE,alpha3,500,0.24208736636581807,0.13092923020535194,0.13171287230652196,0.13133743756539507,0.548,0.02225740326273485
informative_H,0.1,PR_MLE,beta0,500,-1.1062821765098114,0.15992329794144114,0.14886908870578375,0.14788920971933128,0.0,0.0
