experiment,scenario,n,rho,q_target,method,n_attempt,n_success,failure_rate,param_rmse_mean,param_rmse_mcse,coverage_mean_mean,coverage_mean_mcse,pred_rmse_mean,rho_realized_mean,q_realized_mean,n_rev_mean,n_rev1_mean,n_rev0_mean,ess_mean,ess1_mean,ess0_mean,min_eig_or_sing_mean
A,clean,2500,0.05,,DR_CF,500,499,0.002,0.3450429430124299,0.0198570769000054,0.9118236472945892,0.0064111033828341,0.0364055503151089,0.0498196579376813,0.4936905242680459,102.49098196392784,50.56713426853708,51.92384769539078,47.00966112805852,27.510602802278036,30.686523846721165,
A,clean,2500,0.05,,PR_MLE,500,500,0.0,0.1505283672530593,0.0029723508129821,0.9445,0.0046913235908502,0.0188480202429295,0.0498216307370966,0.4936646816810483,102.494,50.566,51.928,,,,
A,clean,2500,0.05,,STD_ZIB,500,500,0.0,0.9497083056011556,0.026519697725258,0.5225,0.0176560463282097,0.0224455293033642,0.0498216307370966,0.4936646816810483,102.494,50.566,51.928,,,,
A,clean,2500,0.1,,DR_CF,500,500,0.0,0.2010508847325959,0.0038433771812708,0.91875,0.0060255281078056,0.0257717231924817,0.0997527297601307,0.4726618917920883,205.224,96.954,108.27,87.33137859534013,56.34567349220705,56.59406806751003,
A,clean,2500,0.1,,PR_MLE,500,500,0.0,0.1270392173183217,0.0021308749630673,0.95,0.0041423807933692,0.0179987194826303,0.0997527297601307,0.4726618917920883,205.224,96.954,108.27,,,,
A,clean,2500,0.1,,STD_ZIB,500,500,0.0,0.9497083056011556,0.026519697725258,0.5225,0.0176560463282097,0.0224455293033642,0.0997527297601307,0.4726618917920883,205.224,96.954,108.27,,,,
A,clean,2500,0.2,,DR_CF,500,500,0.0,0.1414421520915277,0.0027495269877768,0.932,0.0051894953245423,0.0202164326690622,0.1995504541986276,0.4271515765777915,410.524,175.318,235.206,187.63592846767557,121.10373226377278,122.02820495660612,
A,clean,2500,0.2,,PR_MLE,500,500,0.0,0.1054884591827792,0.0017629898985033,0.954,0.003697342380868,0.0169507453053089,0.1995504541986276,0.4271515765777915,410.524,175.318,235.206,,,,
A,clean,2500,0.2,,STD_ZIB,500,500,0.0,0.9497083056011556,0.026519697725258,0.5225,0.0176560463282097,0.0224455293033642,0.1995504541986276,0.4271515765777915,410.524,175.318,235.206,,,,
A,informative_H,200,0.01,,DR_CF,500,162,0.6759999999999999,3.2620800623065134,0.1930039069737915,0.1905864197530864,0.0166796237765155,0.077440951399656,0.007085112034892,0.7073170731707317,1.1728395061728396,0.8024691358024691,0.3703703703703703,1.7521391068400822,1.1137012749803112,0.6384378318597708,
A,informative_H,200,0.01,,PR_MLE,500,405,0.1899999999999999,1.5488897206353776,0.0733753172341412,0.8342592592592593,0.0102070389277698,0.08463728186572,0.0101245029045946,0.587010989010989,1.6666666666666667,0.9407407407407408,0.725925925925926,,,,
A,informative_H,200,0.01,,STD_ZIB,500,499,0.002,1.494753195017102,0.0623109037522085,0.8236472945891784,0.0101136912104728,0.0839735665352816,0.0104129203510898,0.595812024093647,1.7154308617234468,0.9839679358717436,0.7314629258517034,,,,
